"NOTE: Save this file as an Excel workbook and remove this line. Guest ID and event ID are not required so these can be deleted. If you make changes to your guest list then make sure you download this again."
"Guest ID","First Name",Surname,"Additional Invites","RSVP Code",Address,Postcode,"Event ID","Event Name"
318,"Jo ",Doe,2,,,,1,"Wedding Ceremony"
313,Larky,Yels2,10,,,,1,"Wedding Ceremony"
314,Karlppp,qq,1,,,,1,"Wedding Ceremony"
312,Karlc,rr,0,,,,1,"Wedding Ceremony"
317,"Jon ",Doe,10,,,,1,"Wedding Ceremony"
318,"Jo ",Doe,2,,,,6,"Evening Party"
319,brian,Yels,0,,,,6,"Evening Party"
314,Karlppp,qq,1,,,,6,"Evening Party"
312,Karlc,rr,0,,,,6,"Evening Party"
317,"Jon ",Doe,10,,,,6,"Evening Party"
313,Larky,Yels2,10,,,,6,"Evening Party"
